iter	RMSE
0	69914.61339
1	69280.98839
2	68721.82323
3	68123.76543
4	67523.22441
5	66929.92284
6	66344.63088
7	65732.82978
8	65184.20195
9	64652.87315
10	64143.02698
11	63640.56603
12	63134.36093
13	62612.38756
14	62152.04298
15	61712.03061
16	61266.57527
17	60879.23301
18	60478.36114
19	60063.31551
20	59641.49004
21	59229.33872
22	58819.28894
23	58432.75906
24	58047.33391
25	57686.46466
26	57339.20744
27	57019.29459
28	56738.99154
29	56466.85829
30	56115.07772
31	55771.79172
32	55501.30082
33	55206.44019
34	54891.09753
35	54586.44048
36	54306.65995
37	54009.5941
38	53793.70382
39	53551.64173
40	53282.88055
41	53050.89684
42	52796.91535
43	52568.2892
44	52345.25549
45	52114.80994
46	51914.78336
47	51716.17413
48	51510.88024
49	51323.89208
50	51114.69048
51	50908.00079
52	50693.53491
53	50489.94167
54	50326.41114
55	50181.4947
56	50020.21481
57	49862.88728
58	49724.53574
59	49562.73155
60	49407.18216
61	49288.05042
62	49174.67451
63	49031.11524
64	48893.73788
65	48764.81098
66	48646.73454
67	48518.67115
68	48378.15365
69	48281.06619
70	48141.08484
71	47990.43906
72	47866.04987
73	47771.1947
74	47640.58733
75	47528.17757
76	47392.99378
77	47238.79962
78	47159.12737
79	47048.16119
80	46946.65426
81	46863.87423
82	46784.12105
83	46690.44422
84	46591.9297
85	46505.01375
86	46413.93186
87	46335.35476
88	46252.98949
89	46158.4775
90	46093.72226
91	46012.877
92	45936.54431
93	45848.31948
94	45768.98819
95	45674.29104
96	45599.38523
97	45525.85983
98	45460.11847
99	45395.2116
100	45296.52764
101	45239.67434
102	45191.34236
103	45139.63787
104	45071.47294
105	44995.30942
106	44937.26405
107	44854.21409
108	44826.89406
109	44764.95571
110	44724.20268
111	44666.57443
112	44585.08137
113	44550.71366
114	44515.30692
115	44465.05063
116	44416.85602
117	44376.26831
118	44332.65582
119	44277.7409
120	44244.92836
121	44226.79724
122	44180.06813
123	44122.45112
124	44080.7235
125	44062.33533
126	44043.6847
127	43997.32112
128	43983.77209
129	43940.69646
130	43923.12602
131	43903.68103
132	43865.34117
133	43824.29329
134	43754.75454
135	43739.53099
136	43718.17324
137	43691.02569
138	43655.50611
139	43636.31741
140	43589.98496
141	43568.16047
142	43552.84915
143	43520.2551
144	43490.2941
145	43447.80853
146	43387.29446
147	43359.63527
148	43339.29762
149	43322.80729
150	43271.77065
151	43234.73783
152	43219.72593
153	43207.75211
154	43192.98029
155	43176.74631
156	43113.87655
157	43065.67158
158	43040.62027
159	43029.55106
160	43010.4857
161	42995.6319
162	42959.53169
163	42951.32168
164	42937.99434
165	42923.99205
166	42886.02034
167	42834.2763
168	42819.83273
169	42803.35941
170	42789.33035
171	42742.97529
172	42722.47481
173	42689.40809
174	42668.81791
175	42656.89723
176	42630.22238
177	42604.13594
178	42591.53377
179	42568.39774
180	42534.45566
181	42495.50578
182	42483.90892
183	42468.79676
184	42443.75937
185	42429.99301
186	42414.80412
187	42405.65736
188	42396.96507
189	42386.38358
190	42351.27128
191	42318.98278
192	42291.26504
193	42261.04521
194	42246.96491
195	42223.02017
196	42199.14057
197	42181.574
198	42148.67117
199	42122.82237
200	42111.23145
201	42084.58519
202	42057.6352
203	42035.61223
204	42020.63828
205	42007.83338
206	41998.97986
207	41986.86665
208	41973.01488
209	41914.56087
210	41900.08533
211	41880.7473
212	41859.95546
213	41845.61071
