iter	Passed	Remaining
0	262	524329
1	410	409996
2	614	408756
3	757	378140
4	962	384199
5	1111	369495
6	1323	376808
7	1475	367506
8	1681	371921
9	1825	363190
10	2033	367638
11	2180	361219
12	2381	363963
13	2516	356975
14	2698	357061
15	2838	351922
16	3021	352471
17	3157	347678
18	3338	348094
19	3473	343835
20	3655	344485
21	3790	340818
22	3975	341698
23	4114	338738
24	4294	339299
25	4432	336505
26	4613	337119
27	4748	334438
28	4928	334991
29	5063	332488
30	5244	333137
31	5380	330902
32	5564	331701
33	5702	329715
34	5878	330041
35	6015	328160
36	6194	328636
37	6326	326659
38	6507	327214
39	6645	325639
40	6827	326223
41	6962	324591
42	7141	325015
43	7278	323583
44	7457	323965
45	7593	322557
46	7774	323065
47	7907	321586
48	8090	322130
49	8225	320783
50	8411	321448
51	8545	320137
52	8727	320626
53	8863	319416
54	9041	319757
55	9178	318625
56	9357	318990
57	9492	317820
58	9687	318716
59	9824	317662
60	10008	318129
61	10143	317074
62	10326	317496
63	10463	316523
64	10643	316840
65	10728	314367
66	10905	314625
67	11041	313702
68	11223	314083
69	11358	313173
70	11539	313511
71	11676	312677
72	11854	312913
73	11998	312279
74	12180	312620
75	12318	311851
76	12501	312204
77	12636	311384
78	12819	311718
79	12954	310903
80	13133	311154
81	13268	310356
82	13450	310658
83	13584	309846
84	13771	310268
85	13907	309520
86	14086	309738
87	14220	308978
88	14402	309249
89	14543	308646
90	14724	308886
91	14865	308293
92	15042	308460
93	15183	307867
94	15364	308089
95	15496	307345
96	15676	307555
97	15815	306942
98	15993	307110
99	16129	306455
100	16305	306569
101	16441	305938
102	16618	306062
103	16752	305411
104	16931	305579
105	17067	304962
106	17246	305115
107	17381	304493
108	17560	304657
109	17696	304059
110	17875	304203
111	18008	303569
112	18185	303688
113	18320	303096
114	18500	303247
115	18636	302679
116	18824	302966
117	18961	302425
118	19139	302528
119	19274	301968
120	19454	302111
121	19589	301548
122	19771	301709
123	19906	301169
124	20084	301266
125	20217	300688
126	20400	300862
127	20534	300318
128	20712	300410
129	20846	299873
130	21021	299914
131	21160	299459
132	21358	299817
133	21494	299312
134	21672	299399
135	21805	298863
136	21981	298917
137	22115	298396
138	22289	298426
139	22422	297898
140	22602	298000
141	22736	297498
142	22917	297601
143	23055	297156
144	23231	297207
145	23366	296724
146	23546	296820
147	23681	296343
148	23860	296412
149	23993	295916
150	24171	295976
151	24304	295487
152	24491	295653
153	24626	295199
154	24808	295302
155	24942	294828
156	25120	294884
157	25253	294406
158	25431	294462
159	25563	293984
160	25740	294015
161	25872	293545
162	26048	293564
163	26182	293115
