iter	Passed	Remaining
0	10	21808
1	22	22704
2	36	24005
3	48	24198
4	60	24229
5	72	24225
6	85	24417
7	98	24491
8	110	24419
9	124	24678
10	136	24708
11	149	24722
12	156	23916
13	168	23937
14	181	24031
15	193	24049
16	207	24244
17	219	24174
18	231	24161
19	243	24151
20	256	24129
21	268	24114
22	280	24091
23	292	24053
24	319	25221
25	330	25063
26	341	24929
27	354	24963
28	366	24936
29	379	24941
30	393	24980
31	412	25342
32	427	25476
33	441	25538
34	454	25501
35	470	25648
36	481	25569
37	494	25534
38	509	25616
39	522	25579
40	534	25527
41	547	25507
42	560	25503
43	572	25469
44	585	25435
45	598	25427
46	610	25382
47	623	25340
48	634	25280
49	647	25264
50	660	25227
51	672	25198
52	684	25136
53	696	25102
54	708	25037
55	720	25011
56	732	24962
57	744	24938
58	756	24901
59	772	24972
60	785	24963
61	797	24918
62	809	24900
63	824	24954
64	837	24939
65	849	24904
66	861	24863
67	874	24837
68	886	24801
69	898	24778
70	910	24744
71	923	24730
72	936	24714
73	950	24728
74	965	24785
75	980	24830
76	996	24897
77	1008	24861
78	1021	24838
79	1034	24832
80	1046	24804
81	1059	24787
82	1072	24768
83	1084	24746
84	1097	24731
85	1110	24715
86	1122	24680
87	1134	24648
88	1146	24619
89	1158	24584
90	1170	24557
91	1182	24518
92	1195	24507
93	1208	24503
94	1213	24326
95	1225	24308
96	1237	24279
97	1250	24272
98	1262	24250
99	1275	24238
100	1287	24213
101	1299	24183
102	1311	24155
103	1324	24138
104	1336	24112
105	1349	24111
106	1362	24100
107	1375	24102
108	1387	24075
109	1399	24053
110	1411	24024
111	1424	24013
112	1436	23986
113	1448	23962
114	1459	23928
115	1472	23913
116	1486	23926
117	1499	23910
118	1511	23898
119	1524	23889
120	1536	23866
121	1548	23831
122	1561	23822
123	1574	23824
124	1587	23812
125	1599	23796
126	1615	23820
127	1627	23807
128	1639	23784
129	1653	23786
130	1666	23773
131	1678	23756
132	1691	23742
133	1705	23744
134	1717	23723
135	1730	23712
136	1743	23706
137	1755	23684
138	1768	23678
139	1780	23658
140	1792	23638
141	1804	23614
142	1817	23604
143	1830	23595
144	1842	23575
145	1855	23563
146	1867	23541
147	1880	23530
148	1892	23508
149	1904	23492
150	1916	23466
151	1928	23451
152	1941	23437
153	1955	23435
154	1967	23423
155	1981	23427
156	1993	23399
157	2007	23405
158	2020	23392
159	2032	23375
160	2045	23366
161	2058	23351
162	2070	23336
163	2084	23335
164	2098	23335
165	2111	23328
166	2123	23303
167	2135	23286
168	2147	23270
169	2161	23262
170	2174	23257
171	2186	23234
172	2198	23218
173	2210	23198
174	2222	23178
175	2234	23157
176	2247	23148
177	2260	23133
178	2272	23120
179	2284	23102
180	2297	23087
181	2309	23071
182	2322	23055
183	2334	23041
184	2346	23016
185	2358	23005
186	2370	22985
187	2383	22968
188	2395	22951
189	2408	22939
190	2419	22919
191	2432	22910
192	2446	22901
193	2459	22895
194	2474	22907
195	2487	22895
196	2500	22881
197	2512	22863
198	2524	22851
199	2537	22840
200	2550	22826
201	2562	22807
202	2575	22796
203	2587	22783
204	2600	22767
205	2613	22756
206	2625	22737
207	2636	22713
208	2649	22700
209	2662	22690
210	2674	22672
211	2685	22653
212	2698	22640
213	2711	22628
214	2723	22613
215	2736	22600
216	2749	22591
217	2761	22575
218	2773	22556
219	2786	22545
220	2800	22543
221	2813	22531
222	2825	22512
223	2836	22493
224	2849	22480
225	2861	22463
226	2874	22449
227	2886	22435
228	2899	22423
229	2912	22413
230	2925	22401
231	2937	22384
232	2951	22380
233	2964	22372
234	2977	22360
235	2991	22357
236	3003	22338
237	3015	22328
238	3028	22314
239	3040	22297
240	3052	22281
241	3066	22279
242	3079	22263
243	3091	22251
244	3104	22236
245	3116	22221
246	3128	22204
247	3141	22192
248	3153	22176
249	3165	22155
250	3178	22145
251	3190	22129
252	3202	22112
253	3217	22117
254	3229	22098
255	3241	22080
256	3253	22065
257	3264	22044
258	3277	22029
259	3289	22014
260	3301	22000
261	3314	21988
262	3326	21972
263	3338	21955
264	3352	21950
265	3365	21938
266	3376	21917
267	3389	21905
268	3401	21887
269	3413	21872
270	3426	21858
271	3438	21843
272	3452	21842
273	3464	21826
274	3477	21811
275	3489	21795
276	3501	21781
277	3513	21764
278	3525	21746
279	3537	21731
280	3550	21718
281	3562	21702
282	3574	21687
283	3587	21674
284	3598	21656
285	3612	21649
286	3625	21637
287	3637	21622
288	3649	21606
289	3662	21593
290	3674	21579
291	3686	21564
292	3699	21550
293	3712	21540
294	3725	21532
295	3737	21518
296	3750	21507
297	3762	21491
298	3775	21477
299	3787	21463
300	3799	21448
301	3811	21430
302	3823	21415
303	3835	21399
304	3848	21386
305	3860	21369
306	3872	21355
307	3884	21339
308	3897	21331
309	3910	21317
310	3922	21300
311	3934	21285
312	3947	21276
313	3959	21260
314	3972	21248
315	3984	21236
316	3996	21218
317	4010	21214
318	4023	21200
319	4036	21191
320	4049	21182
321	4062	21170
322	4075	21160
323	4087	21143
324	4100	21130
325	4112	21117
326	4125	21105
327	4137	21092
328	4150	21080
329	4164	21075
330	4177	21064
331	4191	21056
332	4204	21046
333	4218	21043
334	4232	21037
335	4248	21039
336	4263	21037
337	4275	21021
338	4287	21005
339	4299	20993
340	4313	20986
341	4325	20967
342	4337	20952
343	4349	20937
344	4361	20923
345	4374	20909
346	4387	20899
347	4399	20883
348	4411	20871
349	4426	20866
350	4438	20853
351	4451	20840
352	4464	20828
353	4477	20821
354	4491	20813
355	4505	20804
356	4518	20796
357	4530	20779
358	4545	20777
359	4557	20761
360	4570	20752
361	4583	20738
362	4595	20723
363	4608	20713
364	4621	20700
365	4633	20687
366	4646	20673
367	4659	20662
368	4672	20651
369	4683	20634
370	4696	20622
371	4710	20613
372	4722	20599
373	4734	20583
374	4746	20569
375	4758	20553
376	4771	20543
377	4783	20527
378	4796	20512
379	4807	20496
380	4820	20482
381	4833	20472
382	4845	20457
383	4857	20443
384	4870	20429
385	4883	20418
386	4895	20403
387	4907	20390
388	4920	20379
389	4933	20365
390	4945	20351
391	4959	20345
392	4971	20330
393	4985	20321
394	4998	20308
395	5009	20292
396	5023	20283
397	5037	20275
398	5050	20263
399	5063	20252
400	5075	20239
401	5089	20230
402	5102	20219
403	5115	20206
404	5127	20192
405	5139	20178
406	5152	20166
407	5165	20155
408	5178	20144
409	5189	20126
410	5202	20112
411	5214	20099
412	5227	20087
413	5239	20073
414	5252	20059
415	5265	20047
416	5276	20032
417	5289	20020
418	5302	20009
419	5315	19994
420	5328	19983
421	5341	19972
422	5353	19957
423	5366	19947
424	5378	19933
425	5391	19921
426	5406	19916
427	5419	19905
428	5431	19891
429	5444	19877
430	5456	19864
431	5469	19853
432	5481	19837
433	5495	19828
434	5508	19818
435	5521	19806
436	5534	19796
437	5547	19784
438	5560	19770
439	5572	19758
440	5585	19745
441	5597	19730
442	5610	19718
443	5625	19713
444	5638	19701
445	5650	19687
446	5662	19673
447	5674	19656
448	5687	19646
449	5700	19635
450	5712	19619
451	5725	19607
452	5738	19596
453	5750	19581
454	5763	19570
455	5789	19603
456	5801	19588
457	5813	19571
458	5824	19555
459	5837	19541
460	5849	19529
461	5863	19518
462	5876	19507
463	5888	19492
464	5901	19481
465	5914	19471
466	5927	19459
467	5939	19442
468	5951	19426
469	5963	19414
470	5976	19402
471	5989	19389
472	6001	19375
473	6015	19366
474	6030	19359
475	6041	19344
476	6054	19332
477	6067	19319
478	6080	19308
479	6093	19297
480	6106	19285
481	6118	19270
482	6131	19256
483	6143	19243
484	6156	19231
485	6168	19216
486	6180	19201
487	6193	19189
488	6206	19177
489	6219	19165
490	6232	19155
491	6244	19141
492	6258	19129
493	6270	19117
494	6282	19102
495	6294	19086
496	6307	19073
497	6319	19059
498	6331	19044
499	6344	19032
500	6356	19020
501	6368	19004
502	6382	18996
503	6396	18986
504	6408	18971
505	6424	18967
506	6435	18951
507	6447	18936
508	6460	18926
509	6473	18913
510	6485	18898
511	6498	18886
512	6510	18872
513	6526	18867
514	6539	18857
515	6553	18848
516	6565	18834
517	6578	18820
518	6591	18808
519	6603	18794
520	6616	18781
521	6628	18768
522	6640	18753
523	6652	18738
524	6665	18727
525	6679	18717
526	6690	18701
527	6703	18688
528	6716	18677
529	6729	18664
530	6742	18653
531	6754	18639
532	6766	18624
533	6778	18609
534	6790	18594
535	6803	18582
536	6817	18573
537	6830	18561
538	6842	18548
539	6854	18533
540	6866	18518
541	6879	18506
542	6891	18491
543	6904	18480
544	6916	18465
545	6929	18453
546	6942	18441
547	6955	18430
548	6967	18414
549	6980	18404
550	6994	18393
551	7007	18381
552	7019	18367
553	7031	18354
554	7043	18339
555	7056	18327
556	7069	18315
557	7081	18300
558	7094	18289
559	7107	18275
560	7119	18262
561	7132	18249
562	7144	18235
563	7158	18226
564	7172	18216
565	7184	18203
566	7196	18188
567	7208	18173
568	7222	18163
569	7234	18148
570	7246	18136
571	7258	18121
572	7270	18107
573	7282	18092
574	7294	18078
575	7307	18065
576	7319	18051
577	7332	18038
578	7344	18024
579	7357	18012
580	7372	18005
581	7384	17991
582	7396	17977
583	7408	17963
584	7421	17950
585	7434	17938
586	7448	17928
587	7460	17914
588	7472	17901
589	7485	17887
590	7496	17873
591	7508	17857
592	7520	17844
593	7533	17830
594	7545	17817
595	7557	17803
596	7569	17788
597	7581	17774
598	7593	17760
599	7605	17745
600	7618	17733
601	7630	17720
602	7643	17707
603	7654	17692
604	7667	17679
605	7680	17666
606	7692	17652
607	7704	17638
608	7716	17624
609	7728	17610
610	7739	17594
611	7752	17582
612	7764	17567
613	7776	17554
614	7789	17541
615	7801	17527
616	7812	17512
617	7825	17499
618	7838	17487
619	7850	17474
620	7862	17460
621	7875	17446
622	7887	17434
623	7899	17418
624	7910	17404
625	7923	17390
626	7936	17378
627	7950	17370
628	7963	17358
629	7976	17344
630	7990	17335
631	8002	17322
632	8017	17313
633	8029	17300
634	8042	17289
635	8055	17275
636	8067	17263
637	8079	17248
638	8091	17234
639	8103	17220
640	8116	17207
641	8129	17196
642	8143	17186
643	8156	17174
644	8169	17163
645	8181	17149
646	8195	17138
647	8206	17122
648	8219	17109
649	8231	17096
650	8243	17082
651	8257	17071
652	8269	17057
653	8281	17044
654	8294	17031
655	8306	17017
656	8318	17004
657	8331	16993
658	8347	16985
659	8359	16972
660	8371	16958
661	8383	16945
662	8396	16932
663	8411	16923
664	8423	16910
665	8435	16896
666	8448	16883
667	8460	16870
668	8472	16857
669	8485	16843
670	8496	16829
671	8508	16815
672	8521	16802
673	8534	16789
674	8547	16779
675	8562	16770
676	8575	16758
677	8589	16747
678	8600	16732
679	8614	16722
680	8627	16709
681	8639	16695
682	8651	16681
683	8663	16668
684	8676	16655
685	8688	16642
686	8700	16627
687	8712	16614
688	8724	16601
689	8737	16587
690	8749	16573
691	8760	16559
692	8774	16549
693	8787	16536
694	8800	16523
695	8812	16510
696	8824	16497
697	8837	16484
698	8848	16470
699	8861	16456
700	8874	16444
701	8885	16429
702	8898	16417
703	8909	16401
704	8922	16389
705	8936	16379
706	8949	16367
707	8961	16352
708	8974	16341
709	8986	16328
710	8999	16315
711	9012	16303
712	9024	16290
713	9037	16276
714	9049	16263
715	9060	16248
716	9072	16234
717	9085	16221
718	9097	16208
719	9109	16195
720	9122	16182
721	9133	16167
722	9147	16157
723	9160	16144
724	9172	16130
725	9184	16116
726	9197	16104
727	9210	16092
728	9223	16081
729	9236	16068
730	9248	16055
731	9262	16044
732	9275	16033
733	9289	16022
734	9302	16009
735	9314	15995
736	9327	15985
737	9340	15972
738	9352	15958
739	9364	15944
740	9377	15932
741	9389	15919
742	9401	15906
743	9415	15895
744	9427	15881
745	9439	15868
746	9451	15853
747	9463	15839
748	9475	15825
749	9486	15811
750	9498	15796
751	9510	15783
752	9523	15771
753	9535	15758
754	9540	15731
755	9553	15719
756	9565	15706
757	9577	15692
758	9590	15680
759	9602	15667
760	9616	15657
761	9628	15643
762	9640	15629
763	9652	15616
764	9664	15602
765	9677	15590
766	9689	15577
767	9702	15564
768	9714	15551
769	9727	15538
770	9740	15526
771	9753	15514
772	9765	15501
773	9777	15487
774	9789	15473
775	9803	15462
776	9815	15449
777	9826	15434
778	9839	15422
779	9852	15410
780	9864	15396
781	9877	15384
782	9889	15370
783	9901	15356
784	9914	15344
785	9927	15333
786	9940	15320
787	9954	15310
788	9966	15297
789	9979	15285
790	9992	15273
791	10004	15259
792	10017	15247
793	10029	15233
794	10041	15220
795	10054	15208
796	10066	15194
797	10079	15182
798	10090	15167
799	10103	15154
800	10115	15141
801	10128	15129
802	10140	15116
803	10153	15103
804	10166	15092
805	10179	15079
806	10192	15067
807	10204	15053
808	10215	15039
809	10228	15026
810	10240	15013
811	10253	15001
812	10265	14987
813	10276	14973
814	10289	14960
