iter	RMSE
0	0.4781175391
1	0.4666627787
2	0.4552844298
3	0.4450859147
4	0.4357527904
5	0.4264299542
6	0.4175975411
7	0.4091067547
8	0.4012078425
9	0.3938812013
10	0.3874021783
11	0.3810232401
12	0.3749001355
13	0.3691395793
14	0.3639182977
15	0.3593574732
16	0.3556249982
17	0.3506399364
18	0.3464024001
19	0.3427395868
20	0.3383569258
21	0.3348490406
22	0.3315521425
23	0.3279640097
24	0.3253665848
25	0.3225313341
26	0.3194471799
27	0.3170873762
28	0.3149166514
29	0.3123387746
30	0.3099910184
31	0.3079892236
32	0.3059771398
33	0.3038168306
34	0.3021723346
35	0.3007950127
36	0.2989376543
37	0.2974797725
38	0.2962089612
39	0.2949954113
40	0.2936155797
41	0.2923296698
42	0.2906030515
43	0.2894961147
44	0.2880817937
45	0.2871569642
46	0.2856752904
47	0.2848750701
48	0.2837260408
49	0.2826183767
50	0.281550192
51	0.2808302232
52	0.2799419384
53	0.2790943457
54	0.278382803
55	0.2778255823
56	0.2773134562
57	0.2766122331
58	0.275975085
59	0.2753229199
60	0.2747690364
61	0.2740818336
62	0.2736410919
63	0.2730446393
64	0.2723509691
65	0.2720025801
66	0.2714992029
67	0.270871696
68	0.2703602528
69	0.2699458574
70	0.2693115225
71	0.2689277562
72	0.2686104151
73	0.268262975
74	0.2676018014
75	0.2670433441
76	0.266601594
77	0.2659462473
78	0.2656365233
79	0.2651462536
80	0.2647712018
81	0.2644486461
82	0.2639678031
83	0.2633042101
84	0.2628641033
85	0.2625869729
86	0.2621793318
87	0.2619262437
88	0.2615582368
89	0.2608508976
90	0.2604988011
91	0.260231631
92	0.2598571063
93	0.2593726368
94	0.2591081923
95	0.2587729775
96	0.2582160895
97	0.2579764346
98	0.2576316661
99	0.2572912924
100	0.25699436
101	0.2565579889
102	0.2563397032
103	0.2561156585
104	0.2557821872
105	0.2554961797
106	0.2549544656
107	0.2547277781
108	0.2545892113
109	0.2543212014
110	0.254050876
111	0.2535812829
112	0.2533405707
113	0.2531635116
114	0.2527631993
115	0.2521302212
116	0.251890476
117	0.2516356138
118	0.2512740433
119	0.2510943946
120	0.2508233176
121	0.2504689321
122	0.2502220167
123	0.2498748382
124	0.2495907573
125	0.2493334565
126	0.2490855139
127	0.2487988001
128	0.2485673378
129	0.2482189006
130	0.2480804806
131	0.2477411464
132	0.247604853
133	0.247389937
134	0.247231168
135	0.2470689287
136	0.2467320762
137	0.2465198584
138	0.2463389784
139	0.2459529431
140	0.245885223
141	0.2456388151
142	0.2454815653
143	0.2451043291
144	0.2447995455
145	0.2442434913
146	0.2439894215
147	0.2435191003
148	0.2431929902
149	0.2427202131
150	0.2425705719
151	0.2424329442
152	0.2422928093
153	0.2420441436
154	0.2417006186
155	0.2415805405
156	0.2414893404
157	0.2412447981
158	0.2408581298
159	0.2405657227
160	0.2402331625
161	0.2400345606
162	0.2399505175
163	0.2395578023
164	0.2389789906
165	0.2386087614
166	0.2383197808
167	0.2375127536
168	0.2370832856
169	0.236838429
170	0.2366235735
171	0.2364741221
172	0.236263016
173	0.2361789249
174	0.2358618698
175	0.2357707875
176	0.2356719674
177	0.2356096655
178	0.2350254163
179	0.2346073913
180	0.234337809
181	0.2339960452
182	0.2339047122
183	0.2334291497
184	0.2330700885
185	0.2326407173
186	0.2325644748
187	0.232050548
188	0.2316165171
189	0.2314127721
190	0.2310695595
191	0.23072748
192	0.2306460428
193	0.23057592
194	0.2302775466
195	0.2299016834
196	0.2296006503
197	0.2295263741
198	0.2293443193
199	0.2291371808
200	0.228781122
201	0.2286027519
202	0.2284675241
203	0.2284067311
204	0.228240559
205	0.2280564989
206	0.227995225
207	0.2279218796
208	0.2275036764
209	0.2271840887
210	0.2268714924
211	0.2267343096
212	0.2262301107
213	0.2261690832
214	0.2258499074
215	0.2254201763
216	0.225280035
217	0.2250313246
218	0.2249769184
219	0.2249186124
220	0.2245450485
221	0.2242479262
222	0.2237512993
223	0.2232265917
224	0.2231556525
225	0.2230972936
226	0.2230343947
227	0.2227917693
228	0.222333085
229	0.2220062538
230	0.2216020545
231	0.2212679747
232	0.2208720709
233	0.2204327866
234	0.2201779004
235	0.2198300531
236	0.2194093661
237	0.2190348183
238	0.2184638259
239	0.2184037246
240	0.2181294111
241	0.2177833462
242	0.2172899691
243	0.2169663945
244	0.2166628868
245	0.2164810968
246	0.2164231298
247	0.2160845756
248	0.2158330399
249	0.215474379
250	0.215164405
251	0.2151201405
252	0.2149469286
253	0.2147158681
254	0.2143910093
255	0.2139761662
256	0.2138639891
257	0.2138215523
258	0.2135883585
259	0.2135540082
260	0.2132443269
261	0.2131243997
262	0.2130720319
263	0.2127325827
264	0.2124530487
265	0.2117701618
266	0.2115879792
267	0.2107977028
268	0.2105536369
269	0.2104570201
270	0.210415863
271	0.2099009043
272	0.2096045494
273	0.20904271
274	0.2087467656
275	0.208480723
276	0.2080863131
277	0.2077300329
278	0.2075951617
279	0.2072707982
280	0.2072314684
281	0.2068585735
282	0.2068049636
283	0.2063367072
284	0.2060218726
285	0.2056588937
286	0.2052586759
287	0.2050040313
288	0.2044080298
289	0.2040901502
290	0.203895079
291	0.2037955683
292	0.2035282976
293	0.2034918787
294	0.203107219
295	0.202595803
296	0.202325923
297	0.2021714725
298	0.2020738743
299	0.2017909323
300	0.2016284022
301	0.2012174582
302	0.201142459
303	0.2009252886
304	0.2006493606
305	0.2003548955
306	0.2001779052
307	0.2001410685
308	0.1998610546
309	0.1993944011
310	0.1990421727
311	0.1989695898
312	0.198515062
313	0.1980469858
314	0.197637041
315	0.1973403657
316	0.197304881
317	0.1971935678
318	0.1968216162
319	0.1965453839
320	0.1963854571
321	0.1963504753
322	0.1959071577
323	0.1954418423
324	0.19524677
325	0.1949393124
326	0.194661979
327	0.1943707322
328	0.1937916887
329	0.193316346
330	0.1932823141
331	0.1932066015
332	0.1929346781
333	0.1928175679
334	0.1925755347
335	0.1924998217
336	0.1924478194
337	0.1921493989
338	0.1917966553
339	0.191576804
340	0.1912779805
341	0.1910569185
342	0.1908142586
343	0.1903585305
344	0.190296455
345	0.1900074022
346	0.1896716506
347	0.1894086756
348	0.1893650619
349	0.188988943
350	0.1886887821
351	0.1885162847
352	0.188480071
353	0.1882981586
354	0.1882554282
355	0.1881038013
356	0.1878298653
357	0.1874650259
358	0.1872415138
359	0.1871177797
360	0.1868864991
361	0.1866951756
362	0.1864238659
363	0.1862160797
364	0.18601788
365	0.1857643369
366	0.1855216269
367	0.1853558819
368	0.1851291075
369	0.184995453
370	0.1846716416
371	0.1844019812
372	0.1841821928
373	0.1840632172
374	0.1838688682
375	0.1836890624
376	0.1832543877
377	0.183214314
378	0.1829410544
379	0.1827427983
380	0.1827128743
381	0.1825071597
382	0.1822319473
383	0.1820605792
384	0.1818506293
385	0.1814693329
386	0.1812616927
387	0.1810580259
388	0.1808309108
389	0.1806093556
390	0.1804137877
391	0.1803794422
392	0.1803360878
393	0.1800494935
394	0.179891456
395	0.1798634207
396	0.1797466303
397	0.1793473574
398	0.1792364657
399	0.1790338574
400	0.178643017
401	0.1783233122
402	0.1781060212
403	0.1778960189
404	0.1776175232
405	0.1775563407
406	0.1772973294
407	0.1771630802
408	0.1769345169
409	0.1768966679
410	0.1767099204
411	0.1764767927
412	0.1763335096
413	0.1761282834
414	0.1760436942
415	0.1758560444
416	0.1757383657
417	0.17562883
418	0.1753856963
419	0.1751174
420	0.1747324116
421	0.1744681672
422	0.1743701789
423	0.1741007587
424	0.1739473968
425	0.1736867111
426	0.1734684045
427	0.1734193032
428	0.173363712
429	0.1733358813
430	0.1729207019
431	0.1728637781
432	0.1726564766
433	0.172406398
434	0.1721644171
435	0.1720279148
436	0.1720024755
437	0.1718087659
438	0.1716739981
439	0.1714792215
440	0.1714543198
441	0.1712365883
442	0.1708100563
443	0.1705208731
444	0.1703809857
445	0.1701792815
446	0.170063289
447	0.1699433394
448	0.1697039811
449	0.169468723
450	0.1693336834
451	0.1693082833
452	0.1690853626
453	0.1690618708
454	0.1689345178
455	0.1687799279
456	0.1686843924
457	0.1685179722
458	0.1683221933
459	0.1682164972
460	0.1680432344
461	0.1678843801
462	0.1676881369
463	0.1674326204
464	0.1671885264
465	0.1670032652
466	0.166829791
467	0.1666046466
468	0.166310848
469	0.1659172548
470	0.1657784762
471	0.1656564176
472	0.1656135582
473	0.1655566982
474	0.1654180681
475	0.1653234457
476	0.1652170149
477	0.1651762232
478	0.1650254511
479	0.1648018346
480	0.164778562
481	0.1647552481
482	0.1645271072
483	0.1642521252
484	0.1640339945
