iter	Passed	Remaining
0	13	26433
1	27	27484
2	40	27109
3	54	27027
4	68	27371
5	83	27637
6	97	27872
7	112	27912
8	125	27870
9	140	27958
10	154	27936
11	169	28010
12	182	27963
13	197	27949
14	211	27926
15	225	27910
16	238	27865
17	253	27884
18	268	27957
19	283	28047
20	297	28060
21	312	28105
22	327	28173
23	341	28105
24	354	28036
25	368	27976
26	381	27914
27	395	27867
28	411	27984
29	425	27964
30	440	27955
31	454	27945
32	468	27922
33	482	27886
34	496	27885
35	510	27861
36	525	27877
37	539	27874
38	553	27827
39	567	27789
40	581	27781
41	596	27798
42	610	27802
43	625	27799
44	639	27788
45	654	27804
46	683	28398
47	695	28287
48	708	28229
49	723	28198
50	737	28167
51	750	28133
52	765	28103
53	778	28072
54	793	28067
55	808	28068
56	823	28056
57	837	28033
58	851	28025
59	865	27992
60	879	27944
61	893	27916
62	907	27892
63	921	27870
64	934	27829
65	948	27802
66	964	27817
67	979	27827
68	993	27809
69	1007	27788
70	1022	27771
71	1036	27741
72	1050	27717
73	1064	27697
74	1077	27668
75	1092	27660
76	1106	27640
77	1120	27615
78	1135	27601
79	1148	27572
80	1163	27561
81	1177	27537
82	1191	27509
83	1205	27503
84	1219	27479
85	1233	27461
86	1248	27446
87	1262	27434
88	1276	27405
89	1290	27396
90	1304	27371
91	1318	27351
92	1332	27331
93	1347	27315
94	1360	27286
95	1375	27271
96	1389	27256
97	1404	27263
98	1418	27243
99	1432	27223
100	1447	27215
101	1462	27206
102	1476	27194
103	1490	27181
104	1504	27152
105	1518	27135
106	1533	27125
107	1546	27096
108	1561	27085
109	1576	27090
110	1590	27074
111	1605	27070
112	1620	27056
113	1634	27046
114	1648	27023
115	1663	27010
116	1677	26990
117	1691	26971
118	1705	26960
119	1726	27055
120	1739	27015
121	1752	26980
122	1766	26956
123	1780	26940
124	1795	26926
125	1809	26907
126	1823	26894
127	1837	26875
128	1851	26858
129	1866	26843
130	1879	26814
131	1894	26814
132	1909	26798
133	1922	26775
134	1937	26763
135	1952	26757
136	1966	26743
137	1980	26723
138	1994	26709
139	2009	26695
140	2023	26678
141	2038	26671
142	2052	26648
143	2066	26632
144	2079	26605
145	2093	26583
146	2107	26567
147	2122	26559
148	2136	26547
149	2151	26532
150	2164	26508
151	2178	26485
152	2192	26469
153	2206	26447
154	2220	26431
155	2234	26410
156	2248	26395
157	2262	26380
158	2276	26361
159	2290	26341
160	2305	26330
161	2319	26318
162	2334	26304
163	2349	26303
164	2363	26289
165	2377	26268
166	2391	26251
167	2407	26248
168	2420	26228
169	2435	26213
170	2449	26202
171	2463	26184
172	2477	26165
173	2491	26146
174	2505	26133
175	2519	26111
176	2533	26091
177	2548	26086
178	2562	26071
179	2577	26059
180	2591	26039
181	2605	26023
182	2619	26013
183	2634	25998
184	2648	25986
185	2663	25978
186	2677	25958
187	2693	25963
188	2707	25947
189	2721	25924
190	2735	25912
191	2750	25896
192	2765	25892
193	2779	25877
194	2794	25863
195	2808	25847
196	2822	25834
197	2836	25816
198	2850	25802
199	2864	25783
200	2879	25768
201	2893	25754
202	2907	25735
203	2921	25720
204	2937	25717
205	2951	25704
206	2964	25675
207	2977	25656
208	2992	25640
209	3005	25619
210	3019	25602
211	3033	25584
212	3047	25568
213	3060	25545
214	3074	25525
215	3089	25515
216	3102	25492
217	3116	25471
218	3129	25449
219	3142	25427
220	3156	25410
221	3170	25393
222	3184	25379
223	3199	25366
224	3212	25346
225	3226	25329
226	3240	25310
227	3254	25294
228	3268	25277
229	3282	25262
230	3295	25240
231	3309	25219
232	3323	25204
233	3337	25189
234	3351	25173
235	3365	25158
236	3379	25139
237	3392	25117
238	3407	25103
239	3420	25087
240	3435	25073
241	3448	25054
242	3462	25035
243	3476	25016
244	3489	24995
245	3503	24981
246	3517	24964
247	3531	24948
248	3545	24929
249	3559	24915
250	3573	24898
251	3587	24886
252	3602	24873
253	3617	24865
254	3630	24847
255	3645	24832
256	3658	24814
257	3672	24794
258	3686	24778
259	3700	24763
260	3713	24743
261	3726	24723
262	3740	24705
263	3754	24691
264	3769	24677
265	3783	24664
266	3797	24647
267	3812	24639
268	3826	24620
269	3839	24603
270	3854	24589
271	3867	24568
272	3881	24552
273	3894	24534
274	3908	24519
275	3923	24510
276	3938	24497
277	3952	24479
278	3966	24466
279	3980	24452
280	3994	24437
281	4009	24428
282	4025	24421
283	4039	24409
284	4053	24391
285	4066	24372
286	4080	24355
287	4094	24341
288	4108	24324
289	4122	24306
290	4136	24290
291	4150	24275
292	4163	24258
293	4177	24242
294	4191	24222
295	4204	24203
296	4218	24189
297	4232	24175
298	4245	24154
299	4259	24137
300	4273	24119
301	4286	24103
302	4301	24089
303	4314	24070
304	4328	24054
305	4342	24040
306	4357	24029
307	4372	24017
308	4386	24007
309	4401	23997
310	4416	23985
311	4430	23967
312	4443	23950
313	4457	23936
314	4471	23919
315	4486	23909
316	4499	23889
317	4513	23872
318	4527	23859
319	4541	23843
320	4555	23829
321	4569	23812
322	4583	23796
323	4597	23783
324	4611	23767
325	4625	23753
326	4639	23736
327	4653	23719
328	4667	23704
329	4680	23687
330	4694	23671
331	4708	23653
332	4721	23637
333	4735	23621
334	4749	23605
335	4763	23588
336	4777	23573
337	4791	23558
338	4805	23545
339	4819	23532
340	4834	23519
341	4848	23506
342	4862	23489
343	4876	23477
344	4891	23463
345	4904	23444
346	4919	23432
347	4933	23418
348	4946	23402
349	4961	23389
350	4975	23376
351	4988	23356
352	5002	23339
353	5017	23327
354	5030	23310
355	5043	23291
356	5057	23274
357	5071	23262
358	5085	23246
359	5099	23232
360	5112	23213
361	5127	23200
362	5141	23188
363	5155	23171
364	5169	23158
365	5183	23141
366	5198	23130
367	5212	23114
368	5226	23100
369	5240	23084
370	5254	23070
371	5267	23052
372	5282	23043
373	5297	23032
374	5312	23019
375	5325	23002
376	5339	22985
377	5353	22971
378	5367	22956
379	5380	22939
380	5394	22922
381	5408	22909
382	5422	22891
383	5436	22877
384	5450	22863
385	5463	22846
386	5478	22832
387	5492	22819
388	5506	22802
389	5520	22787
390	5533	22770
391	5546	22752
392	5561	22739
393	5575	22724
394	5588	22709
395	5603	22695
396	5616	22679
397	5630	22665
398	5644	22649
399	5659	22638
400	5673	22625
401	5688	22611
402	5702	22595
403	5715	22578
404	5729	22563
405	5743	22547
406	5757	22534
407	5771	22518
408	5784	22500
409	5798	22486
410	5811	22469
411	5825	22454
412	5840	22441
413	5854	22427
414	5867	22411
415	5882	22399
416	5897	22386
417	5912	22375
418	5926	22363
419	5941	22351
420	5956	22338
421	5969	22323
422	5983	22309
423	5997	22291
424	6010	22273
425	6025	22262
426	6039	22247
427	6053	22233
428	6066	22216
429	6080	22200
430	6094	22186
431	6107	22169
432	6121	22154
433	6136	22140
434	6150	22128
435	6164	22112
